Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,152.089996,152.229996,150.779999,151.770004,133.819962,2432100
2016-12-06,151.850006,152.080002,150.419998,151.009995,133.149872,2245400
2016-12-07,150.600006,153.910004,150.479996,153.850006,135.654022,2811300
2016-12-08,156.639999,160.899994,156.600006,157.589996,138.951645,5504300
2016-12-09,157.279999,159.830002,157.259995,159.699997,140.812057,2614700
2016-12-12,158.600006,161.279999,158.559998,160.330002,141.367599,2299200
2016-12-13,160.850006,162.039993,159.139999,159.770004,140.873856,3583300
2016-12-14,160.050003,160.449997,158.250000,158.990005,140.186035,2119100
2016-12-15,159.350006,161.500000,159.070007,160.110001,141.173615,1811100
2016-12-16,160.490005,161.250000,159.850006,160.410004,141.438126,3767100
2016-12-19,162.009995,164.529999,161.649994,163.460007,144.127426,3231900
2016-12-20,164.320007,164.949997,163.500000,163.860001,144.480042,2204600
2016-12-21,163.600006,164.029999,163.020004,163.039993,143.757050,1313400
2016-12-22,163.660004,163.669998,161.919998,162.070007,142.901825,1965900
2016-12-23,162.169998,162.669998,161.529999,162.080002,142.910599,1254100
2016-12-27,162.059998,162.759995,161.800003,162.050003,142.884171,1301100
2016-12-28,162.020004,162.850006,160.550003,161.009995,141.967133,1281000
2016-12-29,160.649994,161.440002,160.649994,161.130005,142.072998,858200
2016-12-30,160.889999,160.990005,159.669998,160.110001,141.173615,1472300
2017-01-03,160.649994,160.990005,158.509995,159.729996,140.838516,2099000
2017-01-04,159.800003,160.490005,158.940002,159.759995,140.865005,2163600
2017-01-05,160.949997,163.350006,160.630005,162.910004,143.642471,2880900
2017-01-06,162.669998,162.949997,161.130005,162.830002,143.571884,2167000
2017-01-09,162.330002,162.479996,160.720001,160.970001,141.931915,2318300
2017-01-10,160.580002,162.410004,160.509995,161.660004,142.540298,1477900
2017-01-11,161.470001,162.380005,160.350006,161.539993,142.434494,1378300
2017-01-12,161.350006,161.960007,160.669998,161.869995,142.725449,1296900
2017-01-13,161.990005,162.130005,161.350006,161.860001,142.716599,1250100
2017-01-17,161.850006,164.250000,161.669998,163.809998,144.435989,2430500
2017-01-18,163.649994,164.380005,162.589996,164.270004,144.841614,1834700
2017-01-19,164.179993,164.800003,163.559998,163.699997,144.339035,1980400
2017-01-20,164.389999,164.770004,163.229996,164.240005,144.815140,1897100
2017-01-23,164.050003,164.350006,162.169998,163.009995,143.730621,1421600
2017-01-24,163.229996,163.820007,162.960007,163.669998,144.312546,1347400
2017-01-25,164.199997,164.750000,163.899994,164.139999,144.726990,1299200
2017-01-26,164.339996,164.440002,163.399994,164.070007,144.665253,1180000
2017-01-27,164.559998,164.580002,160.710007,162.059998,142.892944,2341100
2017-01-30,162.029999,163.289993,160.600006,163.250000,143.942245,2149800
2017-01-31,162.490005,164.000000,162.350006,163.949997,144.559448,1796600
2017-02-01,163.839996,163.949997,161.809998,161.860001,142.716599,2219700
2017-02-02,166.839996,168.880005,166.160004,168.149994,148.262711,5816300
2017-02-03,167.720001,168.839996,167.149994,168.320007,148.412567,3227700
2017-02-06,168.179993,168.179993,166.710007,167.029999,147.275208,2172800
2017-02-07,167.529999,168.080002,166.529999,167.520004,147.707214,2732600
2017-02-08,167.500000,168.570007,167.500000,168.419998,148.900757,2089900
2017-02-09,168.449997,171.419998,168.169998,170.960007,151.146362,2606900
2017-02-10,171.649994,172.270004,170.270004,172.000000,152.065857,2070000
2017-02-13,172.490005,172.490005,170.779999,171.960007,152.030518,2272200
2017-02-14,171.660004,173.639999,171.550003,173.630005,153.506943,2244700
2017-02-15,173.179993,175.000000,173.059998,175.000000,154.718201,2346500
2017-02-16,175.100006,175.830002,174.509995,175.750000,155.381226,2206500
2017-02-17,175.470001,176.500000,174.479996,175.860001,155.478531,2424400
2017-02-21,176.550003,177.000000,176.000000,176.940002,156.433319,2317000
2017-02-22,177.070007,177.089996,175.070007,176.509995,156.053146,1815200
2017-02-23,176.520004,177.039993,175.210007,175.850006,155.469650,2599900
2017-02-24,175.220001,177.710007,175.119995,177.559998,156.981461,1684300
2017-02-27,177.330002,177.850006,176.550003,177.619995,157.034531,2340400
2017-02-28,176.949997,177.869995,175.479996,177.179993,156.645493,2992100
2017-03-01,177.369995,178.710007,177.220001,177.860001,157.246735,2352300
2017-03-02,177.500000,178.250000,176.509995,177.979996,157.352814,3190300
2017-03-03,170.699997,171.889999,169.899994,170.259995,150.527496,10396500
2017-03-06,169.410004,170.330002,166.110001,166.729996,147.406647,5793600
2017-03-07,166.539993,168.619995,166.539993,167.000000,147.645355,2811900
2017-03-08,167.000000,167.410004,166.160004,166.240005,146.973434,2375900
2017-03-09,166.399994,166.789993,165.119995,165.770004,146.557877,1993700
2017-03-10,166.490005,166.500000,164.979996,165.369995,146.204224,2164200
2017-03-13,164.850006,165.110001,164.300003,164.550003,145.479294,2127700
2017-03-14,164.210007,165.320007,164.100006,165.240005,146.089249,1974400
2017-03-15,165.570007,166.539993,164.830002,166.539993,147.238663,2079700
2017-03-16,166.779999,167.669998,166.259995,167.059998,147.698395,2726600
2017-03-17,168.059998,168.350006,167.070007,167.809998,148.361435,3976000
2017-03-20,167.759995,168.289993,166.800003,167.440002,148.034317,1603300
